gid,emd_cd,emd_nm_k,emd_nm_e,sgg_cd,sgg_nm_k,sgg_nm_e,sido_cd,sido_nm_k,sido_nm_e,value,stats_year,raw_d_year,geometry,구분
다라28bb69aa,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,3.524,2022,202210,"MULTIPOLYGON (((928750 1669000, 928750 1669250, 929000 1669250, 929000 1669000, 928750 1669000)))",종합병원
다라27bb69aa,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,4.295,2022,202210,"MULTIPOLYGON (((927750 1669000, 927750 1669250, 928000 1669250, 928000 1669000, 927750 1669000)))",종합병원
다라29aa69ba,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,2.508,2022,202210,"MULTIPOLYGON (((929000 1669500, 929000 1669750, 929250 1669750, 929250 1669500, 929000 1669500)))",종합병원
다라28aa70ab,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,2.35,2022,202210,"MULTIPOLYGON (((928000 1670250, 928000 1670500, 928250 1670500, 928250 1670250, 928000 1670250)))",종합병원
다라28ba70aa,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,1.993,2022,202210,"MULTIPOLYGON (((928500 1670000, 928500 1670250, 928750 1670250, 928750 1670000, 928500 1670000)))",종합병원
다라27ba69aa,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,4.524,2022,202210,"MULTIPOLYGON (((927500 1669000, 927500 1669250, 927750 1669250, 927750 1669000, 927500 1669000)))",종합병원
다라27bb70aa,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,3.339,2022,202210,"MULTIPOLYGON (((927750 1670000, 927750 1670250, 928000 1670250, 928000 1670000, 927750 1670000)))",종합병원
다라28bb69bb,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,3.432,2022,202210,"MULTIPOLYGON (((928750 1669750, 928750 1670000, 929000 1670000, 929000 1669750, 928750 1669750)))",종합병원
다라28ba68bb,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,4.377,2022,202210,"MULTIPOLYGON (((928500 1668750, 928500 1669000, 928750 1669000, 928750 1668750, 928500 1668750)))",종합병원
다라28bb70aa,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,1.743,2022,202210,"MULTIPOLYGON (((928750 1670000, 928750 1670250, 929000 1670250, 929000 1670000, 928750 1670000)))",종합병원
다라28ba69aa,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,3.621,2022,202210,"MULTIPOLYGON (((928500 1669000, 928500 1669250, 928750 1669250, 928750 1669000, 928500 1669000)))",종합병원
다라28aa69bb,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,2.949,2022,202210,"MULTIPOLYGON (((928000 1669750, 928000 1670000, 928250 1670000, 928250 1669750, 928000 1669750)))",종합병원
다라28aa69ab,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,3.433,2022,202210,"MULTIPOLYGON (((928000 1669250, 928000 1669500, 928250 1669500, 928250 1669250, 928000 1669250)))",종합병원
다라28aa69aa,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,3.528,2022,202210,"MULTIPOLYGON (((928000 1669000, 928000 1669250, 928250 1669250, 928250 1669000, 928000 1669000)))",종합병원
다라28ab69ab,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,3.175,2022,202210,"MULTIPOLYGON (((928250 1669250, 928250 1669500, 928500 1669500, 928500 1669250, 928250 1669250)))",종합병원
다라28bb69ab,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,2.843,2022,202210,"MULTIPOLYGON (((928750 1669250, 928750 1669500, 929000 1669500, 929000 1669250, 928750 1669250)))",종합병원
다라28bb68bb,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,4.802,2022,202210,"MULTIPOLYGON (((928750 1668750, 928750 1669000, 929000 1669000, 929000 1668750, 928750 1668750)))",종합병원
다라28ab70aa,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,2.652,2022,202210,"MULTIPOLYGON (((928250 1670000, 928250 1670250, 928500 1670250, 928500 1670000, 928250 1670000)))",종합병원
다라27bb70ab,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,2.378,2022,202210,"MULTIPOLYGON (((927750 1670250, 927750 1670500, 928000 1670500, 928000 1670250, 927750 1670250)))",종합병원
다라28ab68bb,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,3.809,2022,202210,"MULTIPOLYGON (((928250 1668750, 928250 1669000, 928500 1669000, 928500 1668750, 928250 1668750)))",종합병원
다라28ab69bb,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,2.103,2022,202210,"MULTIPOLYGON (((928250 1669750, 928250 1670000, 928500 1670000, 928500 1669750, 928250 1669750)))",종합병원
다라27bb69ab,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,3.765,2022,202210,"MULTIPOLYGON (((927750 1669250, 927750 1669500, 928000 1669500, 928000 1669250, 927750 1669250)))",종합병원
다라27ba69ab,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,3.846,2022,202210,"MULTIPOLYGON (((927500 1669250, 927500 1669500, 927750 1669500, 927750 1669250, 927500 1669250)))",종합병원
다라28ab69ba,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,3.3,2022,202210,"MULTIPOLYGON (((928250 1669500, 928250 1669750, 928500 1669750, 928500 1669500, 928250 1669500)))",종합병원
다라27bb69ba,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,3.35,2022,202210,"MULTIPOLYGON (((927750 1669500, 927750 1669750, 928000 1669750, 928000 1669500, 927750 1669500)))",종합병원
다라25ab68ba,46170103,안창동,Anchang-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,5.569,2022,202210,"MULTIPOLYGON (((925250 1668500, 925250 1668750, 925500 1668750, 925500 1668500, 925250 1668500)))",종합병원
다라25aa68ba,46170103,안창동,Anchang-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,5.554,2022,202210,"MULTIPOLYGON (((925000 1668500, 925000 1668750, 925250 1668750, 925250 1668500, 925000 1668500)))",종합병원
다라26bb69ba,46170103,안창동,Anchang-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,3.594,2022,202210,"MULTIPOLYGON (((926750 1669500, 926750 1669750, 927000 1669750, 927000 1669500, 926750 1669500)))",종합병원
다라25ab68ab,46170103,안창동,Anchang-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,5.896,2022,202210,"MULTIPOLYGON (((925250 1668250, 925250 1668500, 925500 1668500, 925500 1668250, 925250 1668250)))",종합병원
